Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:53 EST
"Nutrient data for: PREMIUM MILK CHOCOLATE BAR, UPC: 086854060049"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.5 BAR = 50.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,260,520
"Protein",g,--,--,4.00,8.00
"Total lipid (fat)",g,--,--,16.00,32.00
"Carbohydrate, by difference",g,--,--,29.00,58.00
"Fiber, total dietary",g,--,--,2.0,4.0
"Sugars, total",g,--,--,26.00,52.00
Minerals
"Calcium, Ca",mg,--,--,100,200
"Iron, Fe",mg,--,--,1.80,3.60
"Sodium, Na",mg,--,--,35,70
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,8.000,16.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,10,20
Amino Acids
Other
Ingredients
"MILK CHOCOLATE (SUGAR, COCOA BUTTER, WHOLE MILK POWDER, SKIM MILK POWDER, (BELGIAN) UNSWEETENED CHOCOLATE, UNSWEETENED CHOCOLATE, MILK FAT, SOY LECITHIN AND POLYGLYCEROL POLYRICINOLEATE [EMULSIFIERS], NATURAL VANILLA EXTRACT), ROASTED ALMONDS." Date available: 07/14/2017 Date last updated by company: 07/14/2017
