Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:53 EST
"Nutrient data for: CHOCOLATE RAISINS WITH SEA SALT CARAMEL, UPC: 041415465862"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"24.0 PIECES = 40.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,190,475
"Protein",g,--,--,1.00,2.50
"Total lipid (fat)",g,--,--,10.00,25.00
"Carbohydrate, by difference",g,--,--,26.00,65.00
"Fiber, total dietary",g,--,--,1.0,2.5
"Sugars, total",g,--,--,24.00,60.00
Minerals
"Calcium, Ca",mg,--,--,20,50
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,120,300
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,8.000,20.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,5,12
Amino Acids
Other
Ingredients
"CARAMEL FLAVORED COATING (SUGAR, PALM KERNEL OIL, NONFAT DRY MILK SOLIDS, WHOLE MILK SOLIDS, SEA SALT, YELLOW 6 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, SOY LECITHIN [EMULSIFIER], NATURAL FLAVOR), MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE LIQUOR, MILK, LACTOSE, SOY LECITHIN [EMULSIFIER], SALT, NATURAL FLAVOR), RAISINS, WATER, GUM ARABIC, MODIFIED STARCH (TAPIOCA), CONFECTIONERS GLAZE, COCONUT OIL." Date available: 05/23/2018 Date last updated by company: 05/23/2018
