Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:52 EST
"Nutrient data for: MILK CHOCOLATE TRUFFLES, UPC: 009542034610"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"3.0 BALLS = 36.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,220,611
"Protein",g,--,--,2.00,5.56
"Total lipid (fat)",g,--,--,18.00,50.00
"Carbohydrate, by difference",g,--,--,16.00,44.44
"Fiber, total dietary",g,--,--,1.0,2.8
"Sugars, total",g,--,--,14.00,38.89
Minerals
"Calcium, Ca",mg,--,--,60,167
"Iron, Fe",mg,--,--,0.36,1.00
"Sodium, Na",mg,--,--,45,125
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,100,278
Lipids
"Fatty acids, total saturated",g,--,--,13.000,36.110
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,5,14
Amino Acids
Other
Ingredients
"MILK CHOCOLATE [SUGAR, MILK, COCOA BUTTER, CHOCOLATE, SOYA LECITHIN (EMULSIFIER), BARLEY MALT POWDER, VANILLIN (ARTIFICIAL FLAVORING)], VEGETABLE OIL (COCONUT, PALM KERNEL), SUGAR, COCOA BUTTER, CARAMEL PASTE (SUGAR, COCOA BUTTER, CREAM, SALT, SOYA LECITHIN (EMULSIFIER)), MILK, CHOCOLATE, SKIM MILK, NATURAL AND ARTIFICIAL FLAVORS, SOYA LECITHIN (EMULSIFIER), BARLEY MALT POWDER, SALT." Date available: 10/13/2017 Date last updated by company: 10/13/2017
