Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:53 EST
"Nutrient data for: GHIRARDELLI CHOCOLATE, MINIS ASSORTMENT, UPC: 747599323157"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"6.0 PIECES = 44.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,230,523
"Protein",g,--,--,3.00,6.82
"Total lipid (fat)",g,--,--,15.00,34.09
"Carbohydrate, by difference",g,--,--,25.00,56.82
"Fiber, total dietary",g,--,--,2.0,4.5
"Sugars, total",g,--,--,21.00,47.73
Minerals
"Calcium, Ca",mg,--,--,60,136
"Iron, Fe",mg,--,--,1.44,3.27
"Sodium, Na",mg,--,--,65,148
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,100,227
Lipids
"Fatty acids, total saturated",g,--,--,8.998,20.450
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,10,23
Amino Acids
Other
Ingredients
"SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, WHOLE MILK POWDER, ALMONDS, MILK FAT, BUTTER (CREAM, SALT), COCOA - PROCESSED WITH ALKALI, CRISP RICE (RICE FLOUR, SUGAR, BARLEY MALT EXTRACT, SALT), SOY LECITHIN - AN EMULSIFIER, SALT, VANILLIN - ARTIFICIAL FLAVOR, HIGH FRUCTOSE CORN SYRUP, VANILLA, NATURAL AND ARTIFICIAL FLAVOR." Date available: 07/14/2017 Date last updated by company: 07/14/2017
