Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:50 EST
"Nutrient data for: NABISCO OREO CONES CHOCOLATE 1X4.750 OZ, UNPREPARED, GTIN: 00044000048938"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.0  = 13.0g",1Value per 100 g,
Proximates
"Protein",g,--,--,1.00,7.69
"Total lipid (fat)",g,--,--,0.50,3.85
"Carbohydrate, by difference",g,--,--,11.00,84.62
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,4.00,30.77
Minerals
"Calcium, Ca",mg,--,--,6,49
"Iron, Fe",mg,--,--,0.73,5.62
"Potassium, K",mg,--,--,40,308
"Sodium, Na",mg,--,--,70,538
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"INGREDIENTS: ENRICHED UNBLEACHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), BROWN SUGAR, COCOA (PROCESSED WITH ALKALI), SUGAR, SOY LECITHIN, HIGH OLEIC CANOLA OIL AND/OR CANOLA OIL, SALT, SOYBEAN OIL, PALM OIL, ARTIFICIAL FLAVOR, HIGH FRUCTOSE CORN SYRUP, LEAVENING (BAKING SODA, CALCIUM PHOSPHATE), CHOCOLATE." Date available: 05/14/2018 Date last updated by company: 08/18/2017
