Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:48 EST
"Nutrient data for: CHOCOLATE CANDIES, UPC: 040000249085"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.25 CUP = 42.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,200,476
"Protein",g,--,--,2.00,4.76
"Total lipid (fat)",g,--,--,8.00,19.05
"Carbohydrate, by difference",g,--,--,31.00,73.81
"Fiber, total dietary",g,--,--,1.0,2.4
"Sugars, total",g,--,--,28.00,66.67
Minerals
"Calcium, Ca",mg,--,--,40,95
"Iron, Fe",mg,--,--,0.36,0.86
"Sodium, Na",mg,--,--,30,71
Vitamins
"Vitamin A, IU",IU,--,--,100,238
Lipids
"Fatty acids, total saturated",g,--,--,4.998,11.900
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,5,12
Amino Acids
Other
Ingredients
"MILK CHOCOLATE (SUGAR, CHOCOLATE, SKIM MILK, COCOA BUTTER, LACTOSE, MILKFAT, SOY LECITHIN, SALT, ARTIFICIAL FLAVORS), SUGAR, CORNSTARCH, LESS THAN 1% - CORN SYRUP, DEXTRIN, COLORING (INCLUDES BLUE 1 LAKE, YELLOW 6, RED 40, YELLOW 5, BLUE 1, RED 40 LAKE, BLUE 2 LAKE, YELLOW 6 LAKE, YELLOW 5 LAKE, BLUE 2), GUM ACACIA." Date available: 10/27/2017 Date last updated by company: 10/27/2017
