Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:49 EST
"Nutrient data for: WILD HARVEST, CHOCOLATE CHIP COOKIES, UPC: 711535510451"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 COOKIES = 28.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,130,464
"Protein",g,--,--,1.00,3.57
"Total lipid (fat)",g,--,--,5.00,17.86
"Carbohydrate, by difference",g,--,--,20.00,71.43
"Fiber, total dietary",g,--,--,1.0,3.6
"Sugars, total",g,--,--,11.00,39.29
Minerals
"Calcium, Ca",mg,--,--,20,71
"Iron, Fe",mg,--,--,0.36,1.29
"Sodium, Na",mg,--,--,75,268
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,1.999,7.140
"Fatty acids, total monounsaturated",g,--,--,1.999,7.140
"Fatty acids, total polyunsaturated",g,--,--,0.501,1.790
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,5,18
Amino Acids
Other
Ingredients
"GLUTEN FREE FLOUR BLEND (CORN FLOUR, SOY FLOUR, POTATO FLOUR, RICE FLOUR, CORN STARCH, POTATO STARCH, TAPIOCA STARCH, ACACIA GUM, XANTHAN GUM, CARRAGEENAN), SUGAR, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, ANHYDROUS DEXTROSE, SOY LECITHIN, VANILLA, EXTRACT), PALM OIL, CANOLA OIL, CORN STARCH, EGG POWDER, INVERT SYRUP, MOLASSES, BAKING SODA, SEA SALT, SOY LECITHIN, NATURAL FLAVOR, VANILLA EXTRACT." Date available: 07/14/2017 Date last updated by company: 07/14/2017
