Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:53 EST
"Nutrient data for: WEIS, SANDWICH KREMES, CHOCOLATE, UPC: 041497561759"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"3.0 COOKIES = 36.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,170,472
"Protein",g,--,--,1.00,2.78
"Total lipid (fat)",g,--,--,7.00,19.44
"Carbohydrate, by difference",g,--,--,26.00,72.22
"Fiber, total dietary",g,--,--,1.0,2.8
"Sugars, total",g,--,--,14.00,38.89
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,1.08,3.00
"Sodium, Na",mg,--,--,140,389
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,1.501,4.170
"Fatty acids, total monounsaturated",g,--,--,2.498,6.940
"Fatty acids, total polyunsaturated",g,--,--,0.500,1.390
"Fatty acids, total trans",g,--,--,2.498,6.940
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ENRICHED BLEACHED WHEAT FLOUR** (BLEACHED WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN AND FOLIC ACID), SUGAR, PARTIALLY HYDROGENATED VEGETABLE OIL SHORTENING* (CONTAINS ONE OR MORE OF THE FOLLOWING: SOYBEAN OIL, COTTONSEED OIL), DEXTROSE, CORN SYRUP, COCOA PROCESSES WITH ALKALI, CONTAINS TWO PERCENT OR LESS OF: CORNSTARCH, SALT, SODIUM BICARBONATE, AMMONIUM BICARBONATE, SOY LECITHIN* (AN EMULSIFIER), NATURAL AND ARTIFICIAL FLAVOR." Date available: 05/26/2018 Date last updated by company: 05/26/2018
