Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:49 EST
"Nutrient data for: KINGS, GRAHAMS, DARK CHOCOLATE, UPC: 073866104779"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 GRAHAM = 20.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,100,500
"Protein",g,--,--,1.00,5.00
"Total lipid (fat)",g,--,--,5.00,25.00
"Carbohydrate, by difference",g,--,--,12.00,60.00
"Fiber, total dietary",g,--,--,1.0,5.0
"Sugars, total",g,--,--,7.00,35.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.72,3.60
"Sodium, Na",mg,--,--,25,125
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,3.000,15.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"DARK CHOCOLATE (SUGAR, COCOA BUTTER, COCOA MASS, SOY LECITHIN [EMULSIFIER], AND NATURAL VANILLA EXTRACT), GRAHAM CRACKER SQUARES (ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B2), FOLIC ACID], COTTONSEED OIL, AND PARTIALLY HYDROGENATED SOYBEAN OIL WITH TBHQ ADDED FOR FRESHNESS, SUGAR, WHOLE WHEAT FLOUR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, MOLASSES, CALCIUM CARBONATE, LEAVENING [BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE], SALT, ARTIFICIAL FLAVOR, SOY LECITHIN)." Date available: 07/14/2017 Date last updated by company: 07/14/2017
