,Ndb Id,Tweet_Created,Tweet_Text
0,45318621,2019-01-31 01:36:27,@FoodTravelChat A6 mmm chocolate churro in Malaga; every type of chocolat [that makes everything better] in Brugges; mmm and prickly pear candies in Sedona; beignet's with chocolat in cafe du monde NoLa  omigosh there are toooo many lol #foodtravelchat
1,45318621,2019-01-31 01:08:16,I love gummy candies! And sour stuff. I’m not super big on chocolate but I love me some fruity stuff
2,45318621,2019-01-31 00:11:43,Can a bunch of chocolate candies with brandy inside make u tipsy
3,45318621,2019-01-31 00:05:12,"For those of you that don’t know, they are chocolate and peanut butter candies 😻 https://t.co/MIGPS0PPl6"
4,45318621,2019-01-30 23:54:46,That concludes this month’s snacking adventure. All in all I was most surprised by the addition of gluten to chocolate bars and the amount of peanut candies.
5,45318621,2019-01-30 22:57:29,@mewingwang @NWF8334 @TiffaniAvatar give him a big big  bone  since he can't have Chocolate .  when I was younger my dog ate all my Halloween Candies and lots of Chocolate  My Dog Survived  but it counter surfed all the time.  this was over a decade ago!
6,45318621,2019-01-30 21:40:52,"Have a friend coming over for dessert. I want to make a cake. 
Can I melt chocolate ganache candies with milk/cream to create a drizzle?
Hmmm......"
7,45318621,2019-01-30 21:28:25,"RT @AddysonSchaffer: Like if you ever go to a gas station &amp; you look at all the candies that no one ever buys, i guarantee they’re all choc…"
8,45318621,2019-01-30 21:10:26,"Like if you ever go to a gas station &amp; you look at all the candies that no one ever buys, i guarantee they’re all chocolate."
9,45318621,2019-01-30 21:10:19,"small chocolate candies are helpful when learning fractions in elementary school. 

they're also helpful when learning about distributing property after death in law school."
10,45318621,2019-01-30 20:57:44,"RT @JenniferOsmond3: #çarpışma  They are #çarpışma's Honey, Maple syrup Candies🍬Cinnamon Buns , Apple pies 🥧Strawberry cake🎂 Chocolate Cook…"
11,45318621,2019-01-30 20:46:53,"RT @FairfaxCSB: 👀Look for Golden Tickets! To celebrate the @CityofFairfaxVA Chocolate Lovers Festival, @CameronsChoc, which provides perman…"
12,45318621,2019-01-30 20:45:05,"👀Look for Golden Tickets! To celebrate the @CityofFairfaxVA Chocolate Lovers Festival, @CameronsChoc, which provides permanent employment opportunities for young adults w/ developmental /intellectual disabilities, made candies w/prize winning 'Golden Tickets' in the wrappers."
13,45318621,2019-01-30 20:36:37,"@JesseJackmanXXX Well, I am single. I can eat the whole box of chocolate candies!"
14,45318621,2019-01-30 20:00:15,"Indulging in a little sugar at this old-fashioned Old Firehall Confectionary store. From ice cream, to chocolate, to your classic candies, you’ll be restraining yourself throughout this place! https://t.co/aL6uJMmcK7"
15,45318621,2019-01-30 17:57:43,I'm trying to eat healthy lately. Yesterday I ate 3 boiled eggs &amp; today my farts smell like Easter Sunday. I really wish I would have replaced the real eggs with 3 plastic eggs full of chocolate candies.
16,45318621,2019-01-30 17:54:43,"Was expecting a dollar store candy from professor when she said she had one for me and she gives me a see's candies chocolate sucker thing??  MINESS HOOKED ME UP, THIS IS THE BEST SUCKER IVE EVER HAD IN MY LIFE"
17,45318621,2019-01-30 17:16:19,"We have some fine sweets and tea items for you, if you didn't notice. Hermann the German natural flavored hard candies, Harney &amp; Sons Fine Teas sachets in tins, Seattle Chocolate truffle chocolate bars. They can be added to your flower orders or you can come by and pick them up!"
18,45318621,2019-01-30 16:27:24,"@VivaGlamDiva Okaaaaay! You bring the movie, I’ll bring the chocolate candies!"
19,45318621,2019-01-30 16:24:00,Low-Carb Chocolate Candies https://t.co/RhcRfAWHRU via @YouTube
20,45318621,2019-01-30 16:15:58,"RT @JenniferOsmond3: #çarpışma  They are #çarpışma's Honey, Maple syrup Candies🍬Cinnamon Buns , Apple pies 🥧Strawberry cake🎂 Chocolate Cook…"
21,45318621,2019-01-30 15:28:31,"Philadelphia Candies Milk Chocolate Covered Butter Creams (Traditional Soft Centre) Gift Box,… https://t.co/CS7OlIWUAK https://t.co/jSNilmZRsZ"
22,45318621,2019-01-30 15:28:28,"Philadelphia Candies Milk Chocolate Covered Butter Creams (Traditional Soft Centre) Gift Box,… https://t.co/bnDxmBm6q2 https://t.co/CEQEnAVgMn"
