Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:51 EST
"Nutrient data for: MARKETSIDE, CRISPY CHOCOLATE CHIP TOFFEE COOKIES, UPC: 681131122696"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 COOKIE = 17.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,80,471
"Protein",g,--,--,1.00,5.88
"Total lipid (fat)",g,--,--,4.00,23.53
"Carbohydrate, by difference",g,--,--,11.00,64.71
"Fiber, total dietary",g,--,--,1.0,5.9
"Sugars, total",g,--,--,7.00,41.18
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.36,2.12
"Sodium, Na",mg,--,--,75,441
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,100,588
Lipids
"Fatty acids, total saturated",g,--,--,2.501,14.710
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,10,59
Amino Acids
Other
Ingredients
"ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, BUTTER (CREAM), SEMISWEET CHOCOLATE CHIPS (SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, SOY LECITHIN [AN EMULSIFIER], SALT, VANILLIN [ARTIFICIAL FLAVOR]), TOFFEE BITS (SUGAR, PALM OIL, BUTTER [CREAM], ROASTED ALMONDS [ALMONDS, COCOA BUTTER, SUNFLOWER], SALT, ARTIFICIAL FLAVOR, SOY LECITHIN [AN EMULSIFIER]), EGGS, NATURAL AND ARTIFICIAL FLAVORS, WHEY, SALT, MOLASSES, BAKING SODA." Date available: 11/01/2017 Date last updated by company: 11/01/2017
